pdf_path,pdf_filename,well_family,rank,keyword,tfidf_score
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_29.pdf,15_9_19_A_1997_07_29.pdf,15_9_19,10,formation flow,0.168853
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_30.pdf,15_9_19_A_1997_07_30.pdf,15_9_19,1,window,0.285949
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_30.pdf,15_9_19_A_1997_07_30.pdf,15_9_19,2,tih,0.252227
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_30.pdf,15_9_19_A_1997_07_30.pdf,15_9_19,3,milling,0.233586
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_30.pdf,15_9_19_A_1997_07_30.pdf,15_9_19,4,tih new,0.175211
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_30.pdf,15_9_19_A_1997_07_30.pdf,15_9_19,5,drop angle,0.175211
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_30.pdf,15_9_19_A_1997_07_30.pdf,15_9_19,6,electrical problem,0.175211
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_30.pdf,15_9_19_A_1997_07_30.pdf,15_9_19,7,oriented,0.171959
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_30.pdf,15_9_19_A_1997_07_30.pdf,15_9_19,8,check trip,0.169215
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_30.pdf,15_9_19_A_1997_07_30.pdf,15_9_19,9,passing,0.164316
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_30.pdf,15_9_19_A_1997_07_30.pdf,15_9_19,10,window window,0.164316
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_31.pdf,15_9_19_A_1997_07_31.pdf,15_9_19,1,oriented,0.46528
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_31.pdf,15_9_19_A_1997_07_31.pdf,15_9_19,2,directionally,0.382483
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_31.pdf,15_9_19_A_1997_07_31.pdf,15_9_19,3,continue oriented,0.382483
C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_07_31.pdf,15_9_19_A_1997_07_31.pdf,15_9_19,4,clean conditioning,0.349657
