op_id,well_family,pdf_path,report_date,start_time,end_depth_md,main_activity,sub_activity,state,severity_score,severity_contributors,remark
2817,15_9_19,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_ST2_1997_07_23.pdf,1997-07-23,20:30,0.0,interruption,maintain,fail,6,REPAIR(+1)|state:fail(+5),REPAIRED ON DP ELEVATOR.
2837,15_9_19,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_ST2_1997_07_25.pdf,1997-07-25,03:00,0.0,interruption --,,fail,6,REPAIR(+1)|state:fail(+5),"RIH W/ 9-5/8"" BRIDGE-PLUG ON ATLAS WIRELINE. CCL QUIT WORKING. POOH. CHANGED OUT CCL. repair"
3962,15_9_F_11,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_11_2013_03_12.pdf,2013-03-12,21:00,0.0,interruption -,,ok,6,FISHING(+6),"POOH from 139 m to surface. L/O 2 13/16"" ITCO Spear and M/U 2 1/2"" - 3 5/8"" Taper Tap. - fish"
3963,15_9_F_11,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_11_2013_03_12.pdf,2013-03-12,21:30,0.0,interruption -,,ok,6,FISHING(+6),Evaluated situation and prepared detailed operations procedure. - fish
3965,15_9_F_11,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_11_2013_03_12.pdf,2013-03-12,23:00,143.0,interruption -,,ok,6,FISHING(+6),"RIH taper tap assembly and entered TOF at 143 m. Engaged fish with 2 1/2"" - 3 5/8"" Taper Tap assembly with 5 rpm, 3 KNm in 2"" increments into fish. - fish"
3966,15_9_F_11,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_11_2013_03_12.pdf,2013-03-12,23:30,130.0,interruption -,,ok,6,FISHING(+6),"Picked up 8 MT and confirmed 2 1/2"" - 3 5/8"" Taper Tap assembly engaged in TOF. Pulled out with fish to above guide funnel. ROV engaged pre-made sling and pulled fish clear of te - fish mplate. Lowered fish and set down same on seabed. 2 1/2"" - 3 5/8"" Taper Tap assembly disengaged and fish layed down on seabed. - Fish located 11 m clear of template, fish heading 300 degrees orientated forward - aft under rig."
9925,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_12.pdf,2016-08-12,17:15,771.0,plug abandon,trip,ok,6,FISHING(+6),POOH w/ 10 3/4in csg fish on spear until spear on surface
9926,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_12.pdf,2016-08-12,17:45,771.0,plug abandon,trip,ok,6,FISHING(+6),Pulled spear assy and set casing fish in slips
9927,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_12.pdf,2016-08-12,18:00,771.0,plug abandon,other,ok,6,FISHING(+6),"Released spear, inspected and R/B"
932,15_9_19,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_BT2_1997_12_13.pdf,1997-12-13,02:00,120.0,drilling,casi,fail,6,REPAIR(+1)|state:fail(+5),"FLOWCHECKED & PUMPED SLUG - BIT INSIDE OF 9 5/8"" CSG. POOH FROM 2162M TO SURFACE TO CHANGE BIT & BHA. ng"
9847,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_09.pdf,2016-08-09,16:15,0.0,plug abandon -,,ok,6,FISHING(+6),POOH with fish from 34m. Released spear. Closed annular with 270psi and pulled slowly out of fish. R/B spear. Meanwhile performed TBT for R/U casing equipment - other
9859,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_10.pdf,2016-08-10,02:45,0.0,plug abandon,,ok,6,FISHING(+6),"P/U ITCO spear (BHA#24). RIH same on 5,5 DP to top of the fish at 136m. Engaged spear to fish. -- other"
9860,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_10.pdf,2016-08-10,03:45,0.0,plug abandon,,ok,6,FISHING(+6),POOH w/ fish from 136m to surface -- trip
9861,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_10.pdf,2016-08-10,04:30,0.0,plug abandon,,ok,6,FISHING(+6),Set slips on 10 3/4in tieback casing stump. Released spear and R/B same. L/D tieback adapter fish -- other
9896,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_11.pdf,2016-08-11,10:30,0.0,plug abandon,cu,ok,6,FISHING(+6),"LD 1x DP single. M/U spear assy. Removed PS21, installed master bushing. t Inspected and greased up spear. RIH 1x stand of DC"
9899,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_11.pdf,2016-08-11,14:30,0.0,plug abandon,cu,ok,6,FISHING(+6),"Pulled up through 10 3/4 hanger with 10 3/4in casing, ok to pass. t RIH back, released spear from 10 3/4in casing fish"
9901,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_11.pdf,2016-08-11,18:00,0.0,interruption,repai,ok,6,FISHING(+6),"Evaluated situation. Discussed w/ onshore organisation. Meanwhile manufacturing c-plate to be able to hang off weight of the inner string r Decided way forward: - pull csg fish on spear - release spear from fish - instal string stab above spear - engage spear on surface, RIH fish on spear - release spear, POOH"
1612,15_9_19,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_S_1992_11_23.pdf,1992-11-23,15:00,0.0,interruption,maintain,fail,6,REPAIR(+1)|state:fail(+5),REPAIRED UPPER RACKING ARM: WELDED ON ANTI-TURN PADS FOR SWING MOTOR.
1694,15_9_19,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_S_1992_12_03.pdf,1992-12-03,22:30,2465.0,interruption,maintain,fail,6,REPAIR(+1)|state:fail(+5),REPAIRED TOP DRIVE DUE TO OVERLOAD ON ELECTRO MOTOR.
1699,15_9_19,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_S_1992_12_04.pdf,1992-12-04,13:00,1483.0,interruption,m,fail,6,REPAIR(+1)|state:fail(+5),"REPLACED OIL PUMP ON TOP DRIVE, DUE TO STUCK UPPER BEARING. CIRCULATED/ROTATED PIPE WHILE REPAIRED TOP DRIVE. PUMPED TWO 10 M3 HI-V aintain IS PILLS GIVING LARGE AMOUNTS OF CUTTINGS IN RETURNS."
10368,15_9_F_15,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_15_2008_09_10.pdf,2008-09-10,22:45,0.0,drilling,bop/wellhead,ok,6,FISHING(+6),Removed Diverter RT. Connected overshot packer hose. Took BOP weight with upper tension cylinders. Rigged down slings from bails. equipment
9909,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_12.pdf,2016-08-12,03:30,0.0,interruption,repair,ok,6,FISHING(+6),P/U spear assembly and M/U to DP in well center Engaged spear to 10 3/4in csg fish
9910,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_12.pdf,2016-08-12,04:00,0.0,interruption,repair,ok,6,FISHING(+6),RIH w/ 10 3/4in csg fish on spear. Released spear from the fish
9912,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_12.pdf,2016-08-12,06:30,0.0,interruption,repair,ok,6,FISHING(+6),"Engaged fish on spear. Evaluated situation. Discussed way forward. Reviewed BHA/well schematic and concluded that it was not grapple that hung of f, but taper mill hung off. Meanwhile cleared rig floor, serviced drilling equipment, removed scaffold from forward RPS"
9916,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_12.pdf,2016-08-12,13:00,774.0,plug abandon,cut,ok,6,FISHING(+6),"R/B spear assy, L/D pup joints, P/U single"
9922,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_12.pdf,2016-08-12,16:30,27.0,plug abandon,other,ok,6,FISHING(+6),P/U and M/U spear BHA (run#28). Inspected and serviced grapple
9923,15_9_F_14,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_14_2016_08_12.pdf,2016-08-12,16:45,108.0,plug abandon,trip,ok,6,FISHING(+6),RIH w/ spear assy from 27m to 108m
10421,15_9_F_15,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_15_2008_09_21.pdf,2008-09-21,06:45,0.0,interruptio,,ok,6,FISHING(+6),Held pre-job meeting for attempting to screw into drillpipe. n -- fish
10422,15_9_F_15,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_15_2008_09_21.pdf,2008-09-21,07:00,42.0,interruptio,,ok,6,FISHING(+6),"1RIH with 5 1/2"" DP. Tagged fish at 41,6 m MD indicating that drillstring had fallen to the bottom of the well. n -- fish"
650,15_9_19,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_19_A_1997_11_08.pdf,1997-11-08,06:30,2169.0,plug,,ok,6,FISHING(+6),"POOH WITH 7"" CSG. RELEASED CSG SPEAR AND RACKED BACK IN DERRICK. abandon -- cut"
11015,15_9_F_15,C:\Users\user\Downloads\eilink_ra_ds\eilink_ra_ds\data\raw_pdfs\15_9_F_15_2008_12_08.pdf,2008-12-08,14:30,1277.0,plug aba,,ok,6,FISHING(+6),"Disengaged spear, removed and suspended in PRS. Rigged up Odfjell casing tong. Prepared PS-30 slips. ndon -- c ut"
