from_activity,to_activity,count
CASING,RIG_UP,3
FLOW_CHECK,CASING,3
EQUIPMENT_FAILURE,TIGHT_HOLE,3
REPAIR,TIGHT_HOLE,3
TIGHT_HOLE,STUCK_PIPE,3
RIG_DOWN,RIG_UP,3
CEMENT,TIGHT_HOLE,3
EQUIPMENT_FAILURE,STUCK_PIPE,3
OTHER,STUCK_PIPE,3
WAIT,MAKE_UP,3
DRILL,LAY_DOWN,3
SURVEY,SURVEY,3
BOP_OPERATION,STUCK_PIPE,3
WELL_CONTROL,DRILL,3
CASING,PRESSURE_TEST,3
DRILL,PRESSURE_TEST,3
CEMENT,LAY_DOWN,3
EQUIPMENT_FAILURE,WAIT,3
WAIT,DRILL,3
MAKE_UP,PRESSURE_TEST,3
TRIP_OUT,PRESSURE_TEST,3
RIG_DOWN,TRIP_OUT,3
FISHING,MAKE_UP,3
LAY_DOWN,TOOLBOX_TALK,3
TOOLBOX_TALK,RIG_DOWN,3
FLOW_CHECK,CIRCULATE,3
TOOLBOX_TALK,FISHING,3
CIRCULATE,MAKE_UP,3
RIG_UP,CEMENT,3
LAY_DOWN,RIG_DOWN,3
RIG_UP,LAY_DOWN,3
CEMENT,FISHING,3
CASING,WELL_CONTROL,3
WELL_CONTROL,FLOW_CHECK,3
WELL_CONTROL,EQUIPMENT_FAILURE,2
CIRCULATE,RIG_DOWN,2
CIRCULATE,RIG_UP,2
RIG_UP,CIRCULATE,2
STUCK_PIPE,DRILL,2
TRIP_IN,STUCK_PIPE,2
WAIT,CIRCULATE,2
FISHING,STUCK_PIPE,2
STUCK_PIPE,TRIP_OUT,2
MAKE_UP,WAIT,2
MAKE_UP,LAY_DOWN,2
FLOW_CHECK,TIGHT_HOLE,2
TIGHT_HOLE,FLOW_CHECK,2
FISHING,CIRCULATE,2
WELL_CONTROL,CIRCULATE,2
WAIT,RIG_UP,2
RIG_DOWN,CASING,2
STUCK_PIPE,OTHER,2
SURVEY,CEMENT,2
LAY_DOWN,FLOW_CHECK,2
SURVEY,FLOW_CHECK,2
CEMENT,RIG_DOWN,2
FLOW_CHECK,LAY_DOWN,2
TOOLBOX_TALK,LAY_DOWN,2
WELL_CONTROL,RIG_UP,2
LAY_DOWN,REPAIR,2
BOP_OPERATION,FLOW_CHECK,2
FISHING,TOOLBOX_TALK,2
CIRCULATE,TOOLBOX_TALK,2
MAKE_UP,RIG_UP,2
PRESSURE_TEST,TRIP_OUT,2
EQUIPMENT_FAILURE,SURVEY,2
TOOLBOX_TALK,WAIT,2
WAIT,CASING,2
WELL_CONTROL,CASING,2
CASING,RIG_DOWN,2
RIG_DOWN,LAY_DOWN,2
DRILL,FISHING,2
FISHING,LAY_DOWN,2
FISHING,CEMENT,2
LAY_DOWN,RIG_UP,2
RIG_DOWN,MAKE_UP,1
LAY_DOWN,CIRCULATE,1
RIG_DOWN,FISHING,1
SURVEY,CASING,1
STUCK_PIPE,CASING,1
WAIT,RIG_DOWN,1
RIG_DOWN,WAIT,1
STUCK_PIPE,WELL_CONTROL,1
FISHING,TIGHT_HOLE,1
TIGHT_HOLE,FISHING,1
CIRCULATE,FISHING,1
TIGHT_HOLE,SURVEY,1
SURVEY,TIGHT_HOLE,1
CEMENT,WAIT,1
FISHING,RIG_DOWN,1
SURVEY,RIG_DOWN,1
RIG_UP,REPAIR,1
STUCK_PIPE,BOP_OPERATION,1
RIG_UP,SURVEY,1
WAIT,LAY_DOWN,1
LAY_DOWN,WELL_CONTROL,1
TIGHT_HOLE,TOOLBOX_TALK,1
PRESSURE_TEST,MAKE_UP,1
REPAIR,SURVEY,1
WAIT,CEMENT,1
CASING,SURVEY,1
FLOW_CHECK,RIG_UP,1
FLOW_CHECK,SURVEY,1
PRESSURE_TEST,FLOW_CHECK,1
LAY_DOWN,CEMENT,1
PRESSURE_TEST,RIG_DOWN,1
LAY_DOWN,WAIT,1
WAIT,REPAIR,1
PRESSURE_TEST,CIRCULATE,1
STUCK_PIPE,EQUIPMENT_FAILURE,1
CEMENT,SURVEY,1
MAKE_UP,SURVEY,1
TOOLBOX_TALK,CIRCULATE,1
TIGHT_HOLE,CEMENT,1
TOOLBOX_TALK,TIGHT_HOLE,1
TIGHT_HOLE,LAY_DOWN,1
TIGHT_HOLE,REPAIR,1
TIGHT_HOLE,MAKE_UP,1
MAKE_UP,TIGHT_HOLE,1
FLOW_CHECK,CEMENT,1
CEMENT,FLOW_CHECK,1
REPAIR,LAY_DOWN,1
TOOLBOX_TALK,REPAIR,1
PRESSURE_TEST,CASING,1
FISHING,FLOW_CHECK,1
WELL_CONTROL,LAY_DOWN,1
WELL_CONTROL,MAKE_UP,1
WELL_CONTROL,REPAIR,1
WAIT,WELL_CONTROL,1
CEMENT,STUCK_PIPE,1
LAY_DOWN,PRESSURE_TEST,1
FLOW_CHECK,FISHING,1
WELL_CONTROL,FISHING,1
CIRCULATE,LAY_DOWN,1
FISHING,WAIT,1
CASING,WAIT,1
RIG_UP,WAIT,1
CIRCULATE,WAIT,1
TOOLBOX_TALK,PRESSURE_TEST,1
TOOLBOX_TALK,STUCK_PIPE,1
